Id,Tech meta type,Filename,Filesize,Title,Date archived,Description,Pid,Created at,Updated at,Transcription text,Desc metadata,Discoverability,Md5,Date dl ingest,Date dl update,Dpla,Creator death date,Creation date,Primary author
1223601,image,000033215_0023.tif,27440438,Conference for Prospective Women Engineers,10/20/2015 12:46,1974-02-18 | 740032,uva-lib:2552374,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,3bc9f8a25f7f60370abf2081c5aa11e4,,,FALSE,,,
1223602,image,000033215_0024.tif,27092966,Conference for Prospective Women Engineers,10/20/2015 12:46,1974-02-18 | 740032,uva-lib:2552375,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,edeba6fefa3e398f420dfa13221b419a,,,FALSE,,,
1223603,image,000033215_0025.tif,26749748,Wine Tasting,10/20/2015 12:46,1974-02-19 | 740033,uva-lib:2552376,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,391829d7ff7430832611ebf02c488f85,,,FALSE,,,
1223604,image,000033215_0026.tif,25828014,Wine Tasting,10/20/2015 12:46,1974-02-19 | 740033,uva-lib:2552377,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,6a34212d47c5741a6a895e7c27919ec0,,,FALSE,,,
1223605,image,000033215_0027.tif,26230016,Wine Tasting,10/20/2015 12:46,1974-02-19 | 740033,uva-lib:2552378,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,d6c6c14de12207332fb9d74983c9b5cb,,,FALSE,,,
1223606,image,000033215_0028.tif,26724968,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552379,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,e787b5c17fe8460ec1137eadbe65e386,,,FALSE,,,
1223607,image,000033215_0029.tif,27175772,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552380,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bf0d3591a9b81747f575cf681a252ba4,,,FALSE,,,
1223608,image,000033215_0030.tif,27171862,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552381,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,2e8e82880dbe63e0e1d2b2774cfa9d7f,,,FALSE,,,
1223609,image,000033215_0031.tif,27612032,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552382,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,3a867fa8b7d5411a9d1f4df9afa5fc7c,,,FALSE,,,
1223610,image,000033215_0032.tif,25392400,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552383,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bedfa5e177c77b29a0f6a028325a8461,,,FALSE,,,
